build_order,phase,week,page_id,slug,type,target_keyword,volume,kd,cluster,reason,interlinks_to_add_immediately_after_publish
26,2,3,P022,/tax-answers/california-capital-gains-tax/,tax-answer,california capital gains tax,4500,4,state-tax,Anchor of California cluster. Now links to /inheritance-tax-california/ that's already live.,/tax-answers/capital-gains-tax-florida/ | /tax-answers/california-inheritance-tax/ | /tax-answers/does-california-tax-social-security/
27,2,3,P023,/tax-answers/afr-rates/,tax-answer,afr rates,5300,7,income-concepts,High volume — AFR rates change monthly. Strong freshness signal. Update regularly.,/tax-answers/afr-rate/ | /tax-answers/what-is-tax-liability-zero/ | /tax-answers/
28,2,4,P024,/tax-answers/are-medicare-premiums-tax-deductible/,tax-answer,are medicare premiums tax deductible,2200,4,income-concepts,Second Medicare page. /what-is-medicare-tax/ now live to link bidirectionally.,/tax-answers/what-is-medicare-tax/ | /tax-answers/are-disability-benefits-taxable/ | /tax-answers/
29,2,4,P051,/guides/irs-treas-310/,guide,irs treas 310,5400,10,irs-refunds,First pillar guide. All IRS refund Q&A pages now live. Guide can link to all of them.,/tax-answers/irs-treas-310-tax-ref/ | /tax-answers/irs-treas-310/ | /tax-answers/how-long-tax-refund-show-bank-account/ | /tax-answers/why-is-receiving-large-tax-refund-bad/
30,2,4,P052,/guides/backup-withholding/,guide,backup withholding,13000,10,income-concepts,Second pillar guide. All backup withholding Q&A pages now live.,/tax-answers/backup-withholding/ | /tax-answers/what-is-backup-withholding/ | /tax-answers/backup-withholding-meaning/ | /tax-answers/taxable-interest/
31,2,4,P025,/tax-answers/are-401k-contributions-tax-deductible/,tax-answer,are 401k contributions tax deductible,1900,7,deductions,Deductions cluster growing. Strong I-node links now possible.,/tax-answers/do-you-report-roth-ira-on-taxes/ | /tax-answers/are-medicare-premiums-tax-deductible/ | /tax-answers/
32,2,4,P026,/tax-answers/do-you-report-roth-ira-on-taxes/,tax-answer,do you report roth ira on taxes,2100,3,deductions,Bidirectional link with /are-401k-contributions-tax-deductible/ now possible.,/tax-answers/are-401k-contributions-tax-deductible/ | /tax-answers/is-severance-pay-taxable/ | /tax-answers/
33,2,4,P027,/tax-answers/is-severance-pay-taxable/,tax-answer,is severance pay taxable,1600,6,deductions,Third retirement/income deduction page. Links across all three.,/tax-answers/are-disability-benefits-taxable/ | /tax-answers/do-you-report-roth-ira-on-taxes/ | /tax-answers/
34,2,4,P028,/tax-answers/qualifying-widower/,tax-answer,qualifying widower,2800,10,child-family,Child-family cluster — /if-i-pay-child-support/ already live to link bidirectionally.,/tax-answers/can-you-file-head-of-household-if-married/ | /tax-answers/can-father-claim-child-on-taxes/ | /tax-answers/
35,2,4,P029,/tax-answers/does-california-tax-social-security/,tax-answer,does california tax social security,3700,7,state-tax,California cluster growing. /california-capital-gains-tax/ live to link bidirectionally.,/tax-answers/is-social-security-taxable-in-california/ | /tax-answers/california-capital-gains-tax/ | /tax-answers/
36,2,4,P030,/tax-answers/capital-gains-tax-florida/,tax-answer,capital gains tax florida,3300,11,state-tax,Extends state-tax cluster to Florida. Existing blog post about Florida social security links here.,/tax-answers/california-capital-gains-tax/ | /tax-answers/inheritance-tax-california/ | /tax-answers/
37,2,5,P031,/tax-answers/1099c-form/,tax-answer,1099c,3200,6,income-concepts,Income concepts cluster — connects to backup withholding semantically.,/tax-answers/backup-withholding/ | /tax-answers/taxable-interest/ | /tax-answers/is-severance-pay-taxable/
38,2,5,P032,/tax-answers/irs-treas-310/,tax-answer,irs treas 310,5400,10,irs-refunds,IRS refunds cluster completion. Now all four IRS pages are live and link to each other.,/tax-answers/irs-treas-310-tax-ref/ | /tax-answers/how-long-tax-refund-show-bank-account/ | /tax-answers/why-is-receiving-large-tax-refund-bad/
39,2,5,P033,/tax-answers/if-you-pay-child-support-can-you-claim-child-on-taxes-2026/,tax-answer,if you pay child support can you claim the child on your taxes 2026,2900,12,child-family,Second child support page — bidirectional link with the KD 0 version.,/tax-answers/if-i-pay-child-support-can-i-claim-my-child-on-taxes/ | /tax-answers/can-father-claim-child-on-taxes/ | /tax-answers/
40,2,5,P034,/tax-answers/what-is-tax-liability-zero/,tax-answer,what is tax liability zero mean,2500,4,income-concepts,Connects income-concepts with deductions cluster semantically.,/tax-answers/why-is-receiving-large-tax-refund-bad/ | /tax-answers/are-401k-contributions-tax-deductible/ | /tax-answers/zero-tax-program/
41,2,5,P035,/tax-answers/california-inheritance-tax/,tax-answer,california inheritance tax,1100,2,state-tax,Second California inheritance page — links bidirectionally with /inheritance-tax-california/.,/tax-answers/inheritance-tax-california/ | /tax-answers/prop-19-loopholes/ | /tax-answers/california-capital-gains-tax/
42,2,5,P036,/tax-answers/prop-19-loopholes/,tax-answer,prop 19 loopholes,1100,0,state-tax,KD 0 — California cluster. Featured snippet opportunity. Update with 2025 rules.,/tax-answers/inheritance-tax-california/ | /tax-answers/california-capital-gains-tax/ | /tax-answers/california-inheritance-tax/
43,2,5,P037,/tax-answers/is-social-security-taxable-in-california/,tax-answer,is social security taxable in california,1100,11,state-tax,Completes California social security cluster with bidirectional links.,/tax-answers/does-california-tax-social-security/ | /tax-answers/what-is-medicare-tax/ | /tax-answers/california-capital-gains-tax/
44,2,5,P038,/tax-answers/taxable-interest/,tax-answer,taxable interest,1100,12,income-concepts,Completes the interest income sub-cluster.,/tax-answers/tax-exempt-interest-income/ | /tax-answers/what-is-tax-exempt-interest-income/ | /tax-answers/backup-withholding/
45,2,5,P053,/guides/homeowner-tax-deductions/,guide,is homeowners insurance tax deductible,3000,2,insurance-deductions,Third pillar guide. All homeowner insurance pages now live. Guide becomes cluster hub.,/tax-answers/is-homeowners-insurance-tax-deductible/ | /tax-answers/is-home-insurance-tax-deductible/ | /tax-answers/is-mortgage-insurance-tax-deductible/ | /tax-answers/are-closing-costs-tax-deductible/
46,2,5,P054,/guides/medicare-social-security-tax/,guide,what is medicare tax,4200,3,income-concepts,Fourth pillar guide. Medicare + SDI + disability pages all live.,/tax-answers/what-is-medicare-tax/ | /tax-answers/are-medicare-premiums-tax-deductible/ | /tax-answers/sdi-tax/ | /tax-answers/are-disability-benefits-taxable/
47,3,6,P039,/tax-answers/is-mortgage-insurance-tax-deductible/,tax-answer,is mortgage insurance tax deductible,1300,5,insurance-deductions,Completes insurance deductions cluster.,/tax-answers/is-homeowners-insurance-tax-deductible/ | /tax-answers/are-closing-costs-tax-deductible/ | /tax-answers/is-home-insurance-tax-deductible/
48,3,6,P040,/tax-answers/can-father-claim-child-on-taxes/,tax-answer,can father claim child on taxes if child does not live with him,1300,5,child-family,Completes child-family cluster core.,/tax-answers/if-i-pay-child-support-can-i-claim-my-child-on-taxes/ | /tax-answers/qualifying-widower/ | /tax-answers/
49,3,6,P041,/tax-answers/unreimbursed-employee-expenses/,tax-answer,unreimbursed employee expenses,1300,8,deductions,Deductions cluster — connects employment expenses sub-topic.,/tax-answers/are-union-dues-tax-deductible/ | /tax-answers/job-expenses-w2-income/ | /tax-answers/
50,3,6,P042,/tax-answers/are-disability-benefits-taxable/,tax-answer,are disability benefits taxable,1200,8,income-concepts,Now /is-severance-pay-taxable/ is live for bidirectional links.,/tax-answers/is-severance-pay-taxable/ | /tax-answers/what-is-medicare-tax/ | /tax-answers/are-medicare-premiums-tax-deductible/
51,3,6,P043,/tax-answers/is-private-school-tuition-tax-deductible/,tax-answer,is private school tuition tax deductible,1300,7,deductions,Expands deductions cluster to education expenses.,/tax-answers/are-gofundme-donations-tax-deductible/ | /tax-answers/are-401k-contributions-tax-deductible/ | /tax-answers/
52,3,6,P044,/tax-answers/backup-withholding-meaning/,tax-answer,backup withholding meaning,2300,2,income-concepts,Completes backup withholding sub-cluster. All three pages now live and linked.,/tax-answers/backup-withholding/ | /tax-answers/what-is-backup-withholding/ | /tax-answers/taxable-interest/
53,3,6,P045,/tax-answers/is-home-insurance-tax-deductible/,tax-answer,is home insurance tax deductible,2300,2,insurance-deductions,Near-duplicate of homeowners insurance — different user phrasing. Canonical points to /is-homeowners-insurance-tax-deductible/.,/tax-answers/is-homeowners-insurance-tax-deductible/ | /tax-answers/is-mortgage-insurance-tax-deductible/ | /tax-answers/are-closing-costs-tax-deductible/
54,3,6,P046,/tax-answers/do-llc-get-1099/,tax-answer,do llc get 1099,1800,1,income-concepts,KD 1 — should have been earlier but needed income cluster foundation first.,/tax-answers/1099c-form/ | /tax-answers/backup-withholding/ | /tax-answers/is-severance-pay-taxable/
55,3,6,P047,/tax-answers/zero-tax-program/,tax-answer,zero tax program,2400,1,income-concepts,KD 1 — connects income-concepts to deductions.,/tax-answers/what-is-tax-liability-zero/ | /tax-answers/are-401k-contributions-tax-deductible/ | /tax-answers/are-union-dues-tax-deductible/
56,3,7,P048,/tax-answers/job-expenses-w2-income/,tax-answer,job expenses for w-2 income,1600,6,deductions,Employment expenses sub-cluster final page.,/tax-answers/unreimbursed-employee-expenses/ | /tax-answers/are-union-dues-tax-deductible/ | /tax-answers/is-car-insurance-tax-deductible/
57,3,7,P049,/tax-answers/can-you-file-head-of-household-if-married/,tax-answer,can you file head of household if married,1800,14,child-family,Completes child-family filing status sub-cluster.,/tax-answers/qualifying-widower/ | /tax-answers/if-i-pay-child-support-can-i-claim-my-child-on-taxes/ | /tax-answers/can-father-claim-child-on-taxes/
58,3,7,P050,/tax-answers/tax-abatement-meaning/,tax-answer,tax abatement meaning,2100,2,income-concepts,Strong KD 2 keyword that reinforces income-concepts cluster.,/tax-answers/what-is-tax-liability-zero/ | /tax-answers/are-closing-costs-tax-deductible/ | /tax-answers/is-homeowners-insurance-tax-deductible/
59,3,7,P055,/guides/california-tax-guide/,guide,california capital gains tax,4500,4,state-tax,Fifth pillar guide. All California pages live. Becomes cluster hub for state-tax.,/tax-answers/california-capital-gains-tax/ | /tax-answers/does-california-tax-social-security/ | /tax-answers/inheritance-tax-california/ | /tax-answers/prop-19-loopholes/ | /tax-answers/sdi-tax/
60,3,8,P056,/guides/child-tax-benefits/,guide,if you pay child support can you claim the child on your taxes 2026,2900,12,child-family,Sixth pillar guide. All child-family pages live.,/tax-answers/if-i-pay-child-support-can-i-claim-my-child-on-taxes/ | /tax-answers/can-father-claim-child-on-taxes/ | /tax-answers/qualifying-widower/ | /tax-answers/can-you-file-head-of-household-if-married/
61,3,8,P057,/guides/overlooked-tax-deductions/,guide,are funeral expenses tax deductible,3900,2,deductions,Final pillar guide. All deduction pages live. This guide becomes the deductions cluster hub.,/tax-answers/are-funeral-expenses-tax-deductible/ | /tax-answers/are-union-dues-tax-deductible/ | /tax-answers/are-gofundme-donations-tax-deductible/ | /tax-answers/unreimbursed-employee-expenses/
