page_id,type,slug,full_url,target_keyword,volume,kd,cluster,meta_title,meta_description_hint,word_count_target,schema_types,internal_links_to,internal_links_from,phase,week,status
P025,tax-answer,/tax-answers/are-401k-contributions-tax-deductible/,https://supatax.ai/tax-answers/are-401k-contributions-tax-deductible/,are 401k contributions tax deductible,1900,7,deductions,"Are 401k Contributions Tax Deductible? (2025 Limits)","Traditional 401k contributions reduce your taxable income dollar-for-dollar. 2025 limit is $23,500 ($31,000 if 50+). Roth 401k contributions are NOT deductible.",600,FAQPage|Article|BreadcrumbList,/tax-answers/do-you-report-roth-ira-on-taxes/|/tax-answers/are-medicare-premiums-tax-deductible/|/tax-answers/is-voluntary-life-insurance-pre-tax/,/tax-answers/ hub,2,4,build
P026,tax-answer,/tax-answers/do-you-report-roth-ira-on-taxes/,https://supatax.ai/tax-answers/do-you-report-roth-ira-on-taxes/,do you report roth ira on taxes,2100,3,deductions,"Do You Report Roth IRA on Taxes? (What to File and What to Skip)","Roth IRA contributions are NOT reported on your tax return. Roth IRA earnings are also tax-free in retirement. The only reporting needed: early withdrawal on Form 5329.",550,FAQPage|Article|BreadcrumbList,/tax-answers/are-401k-contributions-tax-deductible/|/tax-answers/is-severance-pay-taxable/|/tax-answers/are-disability-benefits-taxable/,/tax-answers/ hub,2,4,build
P027,tax-answer,/tax-answers/is-severance-pay-taxable/,https://supatax.ai/tax-answers/is-severance-pay-taxable/,is severance pay taxable,1600,6,deductions,"Is Severance Pay Taxable? (Federal + State Rules 2025)","Yes, severance pay is fully taxable as ordinary income. Federal income tax, Social Security, and Medicare taxes all apply. Your employer withholds at the supplemental rate.",550,FAQPage|Article|BreadcrumbList,/tax-answers/are-disability-benefits-taxable/|/tax-answers/do-you-report-roth-ira-on-taxes/|/tax-answers/unreimbursed-employee-expenses/,/tax-answers/ hub,2,4,build
P028,tax-answer,/tax-answers/qualifying-widower/,https://supatax.ai/tax-answers/qualifying-widower/,qualifying widower,2800,10,child-family,"Qualifying Surviving Spouse (Widow/Widower): Tax Status Explained","Qualifying Surviving Spouse (formerly Qualifying Widower) lets you use Married Filing Jointly rates for 2 years after spouse's death if you have a dependent child.",600,FAQPage|Article|BreadcrumbList,/tax-answers/can-you-file-head-of-household-if-married/|/tax-answers/can-father-claim-child-on-taxes/|/tax-answers/if-i-pay-child-support-can-i-claim-my-child-on-taxes/,/tax-answers/ hub|/guides/child-tax-benefits/,2,4,build
P029,tax-answer,/tax-answers/does-california-tax-social-security/,https://supatax.ai/tax-answers/does-california-tax-social-security/,does california tax social security,3700,7,state-tax,"Does California Tax Social Security Benefits? (2025)","California does NOT tax Social Security benefits — one of the few states that fully exempts them at the state level. Federal taxes may still apply.",500,FAQPage|Article|BreadcrumbList,/tax-answers/is-social-security-taxable-in-california/|/tax-answers/california-capital-gains-tax/|/tax-answers/what-is-medicare-tax/,/tax-answers/ hub|/guides/california-tax-guide/,2,4,build
P030,tax-answer,/tax-answers/capital-gains-tax-florida/,https://supatax.ai/tax-answers/capital-gains-tax-florida/,capital gains tax florida,3300,11,state-tax,"Capital Gains Tax in Florida: Does the State Tax It? (2025)","Florida has NO state income tax and NO capital gains tax. You only owe federal capital gains tax (0%, 15%, or 20% depending on income). Full breakdown.",550,FAQPage|Article|BreadcrumbList,/tax-answers/california-capital-gains-tax/|/tax-answers/inheritance-tax-california/|/tax-answers/does-california-tax-social-security/,/tax-answers/ hub|/guides/california-tax-guide/,2,4,build
P031,tax-answer,/tax-answers/1099c-form/,https://supatax.ai/tax-answers/1099c-form/,1099c,3200,6,income-concepts,"Form 1099-C: Cancellation of Debt — Do You Owe Taxes?","A 1099-C means a creditor cancelled $600+ of debt. The cancelled amount is generally taxable income UNLESS you qualify for an insolvency or bankruptcy exclusion.",600,FAQPage|Article|BreadcrumbList,/tax-answers/backup-withholding/|/tax-answers/taxable-interest/|/tax-answers/is-severance-pay-taxable/,/tax-answers/ hub,2,4,build
P032,tax-answer,/tax-answers/irs-treas-310/,https://supatax.ai/tax-answers/irs-treas-310/,irs treas 310,5400,10,irs-refunds,"IRS TREAS 310: What It Means When You See It in Your Bank","IRS TREAS 310 is the standard ACH deposit code for IRS payments including tax refunds, stimulus payments, and other government disbursements. See full list.",600,FAQPage|Article|BreadcrumbList,/tax-answers/irs-treas-310-tax-ref/|/tax-answers/how-long-tax-refund-show-bank-account/|/tax-answers/why-is-receiving-large-tax-refund-bad/,/tax-answers/ hub|/guides/irs-treas-310/,2,4,build
P033,tax-answer,/tax-answers/if-you-pay-child-support-can-you-claim-child-on-taxes-2026/,https://supatax.ai/tax-answers/if-you-pay-child-support-can-you-claim-child-on-taxes-2026/,if you pay child support can you claim the child on your taxes 2026,2900,12,child-family,"If You Pay Child Support Can You Claim the Child on Taxes? (2026 Rules)","Paying child support does NOT entitle you to claim the child. The custodial parent has that right by default. Only a Form 8332 release from custodial parent changes this.",600,FAQPage|Article|BreadcrumbList,/tax-answers/if-i-pay-child-support-can-i-claim-my-child-on-taxes/|/tax-answers/can-father-claim-child-on-taxes/|/tax-answers/qualifying-widower/,/tax-answers/ hub|/guides/child-tax-benefits/,2,4,build
P034,tax-answer,/tax-answers/what-is-tax-liability-zero/,https://supatax.ai/tax-answers/what-is-tax-liability-zero/,what is tax liability zero mean,2500,4,income-concepts,"What Does Zero Tax Liability Mean? (And How to Achieve It Legally)","Zero tax liability means you owe no federal income tax after applying all credits and deductions. You can still owe FICA taxes. Here's how some people achieve it.",550,FAQPage|Article|BreadcrumbList,/tax-answers/why-is-receiving-large-tax-refund-bad/|/tax-answers/are-401k-contributions-tax-deductible/|/tax-answers/zero-tax-program/,/tax-answers/ hub,2,5,build
P035,tax-answer,/tax-answers/california-inheritance-tax/,https://supatax.ai/tax-answers/california-inheritance-tax/,california inheritance tax,1100,2,state-tax,"California Inheritance Tax: Why There Isn't One (and What Applies Instead)","California repealed its inheritance tax in 1982. There is no state inheritance or estate tax. Federal estate tax may apply to estates over $13.61M (2025).",500,FAQPage|Article|BreadcrumbList,/tax-answers/inheritance-tax-california/|/tax-answers/prop-19-loopholes/|/tax-answers/california-capital-gains-tax/,/tax-answers/ hub|/guides/california-tax-guide/,2,5,build
P036,tax-answer,/tax-answers/prop-19-loopholes/,https://supatax.ai/tax-answers/prop-19-loopholes/,prop 19 loopholes,1100,0,state-tax,"Prop 19 Loopholes in California: What Still Works in 2025","Proposition 19 eliminated most parent-to-child property tax exclusions in 2021. But there are still strategies: primary residence transfers and legal entity restructuring.",650,FAQPage|Article|BreadcrumbList,/tax-answers/inheritance-tax-california/|/tax-answers/california-capital-gains-tax/|/tax-answers/california-inheritance-tax/,/tax-answers/ hub|/guides/california-tax-guide/,2,5,build
P037,tax-answer,/tax-answers/is-social-security-taxable-in-california/,https://supatax.ai/tax-answers/is-social-security-taxable-in-california/,is social security taxable in california,1100,11,state-tax,"Is Social Security Taxable in California? (State + Federal Rules)","Social Security is NOT taxable in California. However, up to 85% of your benefits may be federally taxable depending on your combined income. Full breakdown.",550,FAQPage|Article|BreadcrumbList,/tax-answers/does-california-tax-social-security/|/tax-answers/what-is-medicare-tax/|/tax-answers/california-capital-gains-tax/,/tax-answers/ hub|/guides/california-tax-guide/,2,5,build
P038,tax-answer,/tax-answers/taxable-interest/,https://supatax.ai/tax-answers/taxable-interest/,taxable interest,1100,12,income-concepts,"Taxable Interest Income: What It Is and How to Report It (1040 Line 2b)","Taxable interest includes bank account interest, CD interest, and most bond interest. It's reported on Form 1040 Line 2b and taxed as ordinary income.",550,FAQPage|Article|BreadcrumbList,/tax-answers/tax-exempt-interest-income/|/tax-answers/what-is-tax-exempt-interest-income/|/tax-answers/backup-withholding/,/tax-answers/ hub,2,5,build
P039,tax-answer,/tax-answers/is-mortgage-insurance-tax-deductible/,https://supatax.ai/tax-answers/is-mortgage-insurance-tax-deductible/,is mortgage insurance tax deductible,1300,5,insurance-deductions,"Is Mortgage Insurance Tax Deductible in 2025?","The mortgage insurance premium deduction expired after 2021 under federal law. It is NOT currently available for 2025 unless Congress extends it. State rules vary.",500,FAQPage|Article|BreadcrumbList,/tax-answers/is-homeowners-insurance-tax-deductible/|/tax-answers/are-closing-costs-tax-deductible/|/tax-answers/is-home-insurance-tax-deductible/,/tax-answers/ hub|/guides/homeowner-tax-deductions/,2,5,build
P040,tax-answer,/tax-answers/can-father-claim-child-on-taxes/,https://supatax.ai/tax-answers/can-father-claim-child-on-taxes/,can father claim child on taxes if child does not live with him,1300,5,child-family,"Can a Father Claim a Child on Taxes If the Child Doesn't Live With Him?","A non-custodial father can claim the child ONLY if the custodial parent signs Form 8332 releasing the dependent exemption. Paying child support alone is not enough.",600,FAQPage|Article|BreadcrumbList,/tax-answers/if-i-pay-child-support-can-i-claim-my-child-on-taxes/|/tax-answers/qualifying-widower/|/tax-answers/can-you-file-head-of-household-if-married/,/tax-answers/ hub|/guides/child-tax-benefits/,2,5,build
P041,tax-answer,/tax-answers/unreimbursed-employee-expenses/,https://supatax.ai/tax-answers/unreimbursed-employee-expenses/,unreimbursed employee expenses,1300,8,deductions,"Unreimbursed Employee Expenses: Can You Deduct Them in 2025?","Unreimbursed employee expenses (W-2 workers) are NOT deductible federally through 2025 due to TCJA. Some states (CA, NY) still allow this deduction.",550,FAQPage|Article|BreadcrumbList,/tax-answers/are-union-dues-tax-deductible/|/tax-answers/job-expenses-w2-income/|/tax-answers/is-car-insurance-tax-deductible/,/tax-answers/ hub,2,5,build
P042,tax-answer,/tax-answers/are-disability-benefits-taxable/,https://supatax.ai/tax-answers/are-disability-benefits-taxable/,are disability benefits taxable,1200,8,income-concepts,"Are Disability Benefits Taxable? (SSDI vs SSI vs Private)","SSDI may be taxable (up to 85%) if your total income exceeds IRS thresholds. SSI is never taxable. Private disability benefits taxability depends on who paid the premiums.",600,FAQPage|Article|BreadcrumbList,/tax-answers/is-severance-pay-taxable/|/tax-answers/what-is-medicare-tax/|/tax-answers/are-medicare-premiums-tax-deductible/,/tax-answers/ hub|/guides/medicare-social-security-tax/,2,5,build
P043,tax-answer,/tax-answers/is-private-school-tuition-tax-deductible/,https://supatax.ai/tax-answers/is-private-school-tuition-tax-deductible/,is private school tuition tax deductible,1300,7,deductions,"Is Private School Tuition Tax Deductible? (Federal vs State 2025)","Private school tuition is NOT federally tax deductible. However, 529 plan funds can be used for K-12 private school tuition up to $10,000/year. State credits vary.",550,FAQPage|Article|BreadcrumbList,/tax-answers/are-gofundme-donations-tax-deductible/|/tax-answers/are-401k-contributions-tax-deductible/|/tax-answers/are-closing-costs-tax-deductible/,/tax-answers/ hub,3,6,build
P044,tax-answer,/tax-answers/backup-withholding-meaning/,https://supatax.ai/tax-answers/backup-withholding-meaning/,backup withholding meaning,2300,2,income-concepts,"Backup Withholding Meaning: The Simple Definition and When It Applies","Backup withholding means the IRS requires a 24% tax holdback on your payments because your taxpayer ID is missing, incorrect, or flagged for under-reporting.",500,FAQPage|Article|BreadcrumbList,/tax-answers/backup-withholding/|/tax-answers/what-is-backup-withholding/|/tax-answers/taxable-interest/,/tax-answers/ hub,3,6,build
P045,tax-answer,/tax-answers/is-home-insurance-tax-deductible/,https://supatax.ai/tax-answers/is-home-insurance-tax-deductible/,is home insurance tax deductible,2300,2,insurance-deductions,"Is Home Insurance Tax Deductible? (2025 Answer)","Home insurance (homeowners insurance) is NOT tax deductible for your personal residence. Rental property home insurance IS deductible on Schedule E.",500,FAQPage|Article|BreadcrumbList,/tax-answers/is-homeowners-insurance-tax-deductible/|/tax-answers/is-mortgage-insurance-tax-deductible/|/tax-answers/are-closing-costs-tax-deductible/,/tax-answers/ hub|/guides/homeowner-tax-deductions/,3,6,build
P046,tax-answer,/tax-answers/do-llc-get-1099/,https://supatax.ai/tax-answers/do-llc-get-1099/,do llc get 1099,1800,1,income-concepts,"Do LLCs Get 1099 Forms? (Single Member vs Multi-Member Rules)","Single-member LLCs taxed as sole props DO get 1099-NEC forms. S-Corp and C-Corp LLCs generally do NOT. Partnership LLCs DO get 1099s. Full breakdown.",600,FAQPage|Article|BreadcrumbList,/tax-answers/1099c-form/|/tax-answers/backup-withholding/|/tax-answers/is-severance-pay-taxable/,/tax-answers/ hub,3,6,build
P047,tax-answer,/tax-answers/zero-tax-program/,https://supatax.ai/tax-answers/zero-tax-program/,zero tax program,2400,1,income-concepts,"What Is the Zero Tax Program? (Legal Tax Elimination Strategies)","The 'Zero Tax Program' refers to IRS-legal strategies for eliminating federal income tax liability through deductions, credits, and retirement contributions. Here's what's real.",600,FAQPage|Article|BreadcrumbList,/tax-answers/what-is-tax-liability-zero/|/tax-answers/are-401k-contributions-tax-deductible/|/tax-answers/are-union-dues-tax-deductible/,/tax-answers/ hub,3,6,build
P048,tax-answer,/tax-answers/job-expenses-w2-income/,https://supatax.ai/tax-answers/job-expenses-w2-income/,job expenses for w-2 income,1600,6,deductions,"Job Expenses for W-2 Employees: What You Can (and Can't) Deduct","W-2 employees cannot deduct job expenses federally through 2025. Exceptions: educator expenses ($300), home office for remote workers varies by state. Full guide.",600,FAQPage|Article|BreadcrumbList,/tax-answers/unreimbursed-employee-expenses/|/tax-answers/are-union-dues-tax-deductible/|/tax-answers/is-car-insurance-tax-deductible/,/tax-answers/ hub,3,6,build
P049,tax-answer,/tax-answers/can-you-file-head-of-household-if-married/,https://supatax.ai/tax-answers/can-you-file-head-of-household-if-married/,can you file head of household if married,1800,14,child-family,"Can You File Head of Household If Married? (IRS Rules)","Married people generally cannot file Head of Household UNLESS they meet the 'considered unmarried' test: lived apart from spouse the last 6 months of the year.",550,FAQPage|Article|BreadcrumbList,/tax-answers/qualifying-widower/|/tax-answers/if-i-pay-child-support-can-i-claim-my-child-on-taxes/|/tax-answers/can-father-claim-child-on-taxes/,/tax-answers/ hub|/guides/child-tax-benefits/,3,7,build
P050,tax-answer,/tax-answers/tax-abatement-meaning/,https://supatax.ai/tax-answers/tax-abatement-meaning/,tax abatement meaning,2100,2,income-concepts,"Tax Abatement Meaning: What It Is and How to Apply","A tax abatement is a government reduction or elimination of taxes for a specific period — commonly used for real estate development incentives or first-time penalty relief.",550,FAQPage|Article|BreadcrumbList,/tax-answers/what-is-tax-liability-zero/|/tax-answers/are-closing-costs-tax-deductible/|/tax-answers/is-homeowners-insurance-tax-deductible/,/tax-answers/ hub,3,7,build
P051,guide,/guides/irs-treas-310/,https://supatax.ai/guides/irs-treas-310/,irs treas 310,5400,10,irs-refunds,"IRS TREAS 310 Complete Guide: Refunds, Codes & What to Do","Everything about IRS TREAS 310 bank deposits — what each code means, how long to wait, what to do if you didn't expect it.",2500,Article|FAQPage|BreadcrumbList,/tax-answers/irs-treas-310-tax-ref/|/tax-answers/irs-treas-310/|/tax-answers/how-long-tax-refund-show-bank-account/|/tax-answers/why-is-receiving-large-tax-refund-bad/,/tax-answers/irs-treas-310-tax-ref/|/tax-answers/irs-treas-310/,2,4,build
